name,type,start_time,duration,"ack","address","read","data"
"I2C","data",4.384201167,0.000085333,true,,,0xFF
"I2C","data",4.384296833,0.000085292,true,,,0xFF
"I2C","data",4.384392583,0.000085333,false,,,0x80
"I2C","stop",4.384494292,0.000000042,,,,
"I2C","start",4.384529375,0.000000042,,,,
"I2C","address",4.384543833,0.000085333,true,0x76,false,
"I2C","data",4.384639542,0.000085333,true,,,0xFA
"I2C","stop",4.384740125,0.000000042,,,,
"I2C","start",4.384760167,0.000000042,,,,
"I2C","address",4.384774667,0.000085333,true,0x76,true,
"I2C","data",4.384869167,0.000085333,true,,,0x80
"I2C","data",4.384964792,0.000085333,true,,,0xA3
"I2C","data",4.3850605,0.000085333,false,,,0xC0
"I2C","stop",4.385162208,0.000000042,,,,
"I2C","start",5.390911083,0.000000042,,,,
"I2C","address",5.390925542,0.000085333,true,0x76,false,
"I2C","data",5.391021167,0.000085333,true,,,0xFA
"I2C","stop",5.391121708,0.000000042,,,,
"I2C","start",5.391141708,0.000000042,,,,
"I2C","address",5.39115625,0.000085333,true,0x76,true,
"I2C","data",5.39125075,0.000085333,true,,,0x80
"I2C","data",5.391346375,0.000085333,true,,,0xA3
"I2C","data",5.391442083,0.000085333,false,,,0x00
"I2C","stop",5.391543833,0.000000042,,,,
"I2C","start",5.3921265,0.000000042,,,,
"I2C","address",5.392141042,0.000085292,true,0x76,false,
"I2C","data",5.392236667,0.000085333,true,,,0xF7
"I2C","stop",5.392337167,0.000000042,,,,
"I2C","start",5.392357208,0.000000042,,,,
"I2C","address",5.392371667,0.000085333,true,0x76,true,
"I2C","data",5.39246625,0.000085292,true,,,0xFF
"I2C","data",5.392561875,0.000085292,true,,,0xFF
"I2C","data",5.392657625,0.000085333,false,,,0x80
"I2C","stop",5.392759333,0.000000042,,,,
"I2C","start",5.392794417,0.000000042,,,,
"I2C","address",5.392808875,0.000085333,true,0x76,false,
"I2C","data",5.392904583,0.000085333,true,,,0xFA
"I2C","stop",5.393005167,0.000000042,,,,
"I2C","start",5.393025208,0.000000042,,,,
"I2C","address",5.393039708,0.000085333,true,0x76,true,
"I2C","data",5.393134208,0.000085333,true,,,0x80
"I2C","data",5.393229875,0.000085292,true,,,0xA3
"I2C","data",5.393325542,0.000085333,false,,,0x00
"I2C","stop",5.39342725,0.000000042,,,,
"I2C","start",6.39919075,0.000000042,,,,
"I2C","address",6.399205292,0.000085333,true,0x76,false,
"I2C","data",6.399300917,0.000085333,true,,,0xFA
"I2C","stop",6.399401458,0.000000042,,,,
"I2C","start",6.399421458,0.000000042,,,,
"I2C","address",6.399436,0.000085292,true,0x76,true,
"I2C","data",6.3995305,0.000085333,true,,,0x80
"I2C","data",6.399626125,0.000085333,true,,,0xA2
"I2C","data",6.399721833,0.000085292,false,,,0x40
"I2C","stop",6.399823583,0.000000042,,,,
"I2C","start",6.40040625,0.000000042,,,,
"I2C","address",6.400420708,0.000085333,true,0x76,false,
"I2C","data",6.400516417,0.000085292,true,,,0xF7
"I2C","stop",6.400616917,0.000000042,,,,
"I2C","start",6.400636958,0.000000042,,,,
"I2C","address",6.400651458,0.000085333,true,0x76,true,
"I2C","data",6.400746042,0.000085333,true,,,0xFF
"I2C","data",6.400841667,0.000085333,true,,,0xFF
"I2C","data",6.400937375,0.000085333,false,,,0x80
"I2C","stop",6.401039083,0.000000042,,,,
"I2C","start",6.401074167,0.000000042,,,,
"I2C","address",6.401088625,0.000085333,true,0x76,false,
"I2C","data",6.401184333,0.000085333,true,,,0xFA
"I2C","stop",6.401284917,0.000000042,,,,
"I2C","start",6.401304917,0.000000042,,,,
"I2C","address",6.401319417,0.000085292,true,0x76,true,
"I2C","data",6.401413958,0.000085333,true,,,0x80
"I2C","data",6.401509583,0.000085333,true,,,0xA2
"I2C","data",6.401605292,0.000085333,false,,,0x40
"I2C","stop",6.401707,0.000000042,,,,
